1,"COMPANY","FIZIČKA LICA","BEZ ADRESE","00000001","000000001","","","","",\N,508,""
2,"COMPANY","USTANOVA KULTURNI CENTAR","JUGOSLOVENSKE ARMIJE 19","8234361","102013851","","","","",\N,508,"08329"
3,"COMPANY","INOX BRAVARIJA","NOVOSADSKA BB","20886099","107866710","","","","",\N,533,""
4,"COMPANY","LUKA BAČKA PALANKA","INDUSTRIJSKA ZONA 35","08760233","102013894","","","","dragan.ignjatović@victoriagroup.rs",\N,508,""
5,"COMPANY","SC MARKET IMPERIJAL DOO","MARŠALA TITA /BB","20719109","106987092","","","","",\N,521,""
6,"COMPANY","EDIL D.O.O.","NOVOSADSKI PUT 13/1","20104163","104151895","","","","office@edil.rs",\N,508,""
7,"COMPANY","SLOVAN PROGRES D.O.O.","MARŠALA TITA 102","08179816","101450398","","","","građevina@slovan.co.rs",\N,518,""
8,"COMPANY","PREMIER S.T.R.","JUGOSLOVENSKE ARMIJE 44","56346406","103237189","","","","",\N,508,""
9,"COMPANY","PODUNAVLJE A.D.","JUGOSLOVENSKE ARMIJE 42","8005834","100496731","","","","",\N,508,""
10,"COMPANY","VITOROG PROMET D.O.O.","PUT NOVOSADSKOG PARTIZANSKOG ODREDA 6","08554242","101652775","Zvezdan Marijanac","","","",\N,465,""
11,"COMPANY","IZOSTAKLO D.O.O.","CARICE MILICE BB","08188742","100723421","","","","izostaklo@mts.rs",\N,509,""
12,"COMPANY","PREDRAG GAJIĆ PR ROLOSTIL","VOJVODE ŽIVOJINA MIŠIĆA 237","55060100","100754526","","","","",\N,508,""
13,"COMPANY","SKUPŠTINA OPŠTINE BAČKA PALANKA","KRALJA PETRA I 16","8070687","102102032","","","","",\N,508,"08305"
14,"COMPANY","SKOLIO STOLARSKA RADIONICA","SIME ŠOLAJE 1","62810912","107536815","","","","",\N,508,""
15,"COMPANY","TMD PLASTIK S.Z.R.","BLOK PARTIZAN 13/18","62177896","105580454","","","","",\N,508,""
16,"COMPANY","BELOTEHNA D.O.O.","ŽARKA ZRENJANINA 35","20233583","104773893","","","","",\N,508,""
17,"COMPANY","O.Š. IVO LOLA RIBAR PLAVNA","MARŠALA TITA 48","08012881","101451202","","","","",\N,521,"01257"
18,"COMPANY","ILIĆ ARENA","ŽARKA ZRENJANINA BB","62819634","107549186","","","","",\N,508,""
19,"COMPANY","REAL KNITTING D.O.O.","PATRIJARHA PAVLA 76","20764236","107153949","","","","",\N,524,""
20,"COMPANY","STANBENA ZAJEDNICA BANATSKA 19","BANATSKA 19","18284162","111275473","","","","",\N,508,""
21,"COMPANY","DR RADIVOJ UVALIĆ S.S.Š.","TRG BRATSTVA I JEDINSTVA 23","08062331","100496508","","","","",\N,508,"02054"
22,"COMPANY","MIRAN SAN S.P.D.","KRALJA PETRA I 103","50804976","100494196","Ilija Kanjaz","","0642158535","",\N,508,""
23,"COMPANY","KERAMIKA VJEŠTICA D.O.O.","CARA LAZARA 12","20431482","105644357","Goran Vještica","","0641441742","",\N,508,""
24,"COMPANY","STAMBENA ZAJEDNICA MARŠALA TITA 20","MARŠALA TITA 20","18191954","110773456","Sveto Mandić","","0600761257","",\N,512,""
25,"PERSON","Srdić Marko","Slovačka 33/19","","rDv0UvjOi3Ap8IyYAg0d","","","","","MAN",512,""
26,"COMPANY","JOVIĆ -SERVIS I REMONT","KRALJA PETRA PRVOG 205","8697329","100753531","Jović Zdravko","","064/1196432","",\N,508,""
27,"COMPANY","CENTAR TRADICIONALNE KULTURE I UMETNOSTI \"KOSTA ABRAŠEVIĆ\"","JUGOSLOVENSKE ARMIJE BR.17","8089531","100497437","Ljilja Žihlavski","","0606046834","",\N,508,"01246"
28,"COMPANY","AGRO-TRADE","TURCIANSKA BB","8786771","102874389","Kralik Miroslav","","","",\N,533,""
29,"COMPANY","OSNOVNA SKOLA \"ALEKSA SANTIC\" GAJDOBRA","NEVESINJSKA 2","8062056","100496233","Jelić Zvonko","","","",\N,523,"01246"
30,"COMPANY","VIZIJA SPD SINISA BARJAKTAROV","TRG BRATSTVA I JEDINSTVA 30-32","55813574","102567944","Barjaktarov Siniša","","0638720806","",\N,508,""
